:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
1	:ok	:generate	5092478439029107000
2	:invoke	:generate	nil
2	:ok	:generate	4620521866459376000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6569037953947304000
1	:ok	:generate	7045921646363402000
1	:invoke	:generate	nil
1	:ok	:generate	7962050588870734000
2	:invoke	:generate	nil
2	:ok	:generate	997412054626295900
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	29084687014430108
0	:ok	:generate	8691884621899435000
2	:invoke	:generate	nil
1	:ok	:generate	3391634209120491000
0	:invoke	:generate	nil
2	:ok	:generate	3879688014676215000
0	:ok	:generate	6119692223840568000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	968180945200282600
1	:ok	:generate	5545085991073600000
2	:invoke	:generate	nil
2	:ok	:generate	230543662598171900
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	8804652985677484000
1	:ok	:generate	1537257389633483800
1	:invoke	:generate	nil
1	:ok	:generate	1475640877382121700
2	:invoke	:generate	nil
2	:ok	:generate	300208090638904300
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n0"}, "n0" #{"n2"}, "n2" #{"n1"}}]
0	:invoke	:generate	nil
:nemesis	:info	:stop-partition	nil
1	:invoke	:generate	nil
0	:ok	:generate	5340820841954561000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	8567100478596438000
1	:ok	:generate	5713262846242553000
0	:ok	:generate	4550221543772130000
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:generate	nil
0	:ok	:generate	7476999374494199000
1	:invoke	:generate	nil
1	:ok	:generate	8737888735354673000
2	:invoke	:generate	nil
2	:ok	:generate	3719813995468301000
0	:invoke	:generate	nil
0	:ok	:generate	5687034858304409000
0	:invoke	:generate	nil
0	:ok	:generate	6617188190187356000
1	:invoke	:generate	nil
1	:ok	:generate	7013580044187410000
2	:invoke	:generate	nil
2	:ok	:generate	5615775559639153000
0	:invoke	:generate	nil
0	:ok	:generate	1144068387880835000
0	:invoke	:generate	nil
0	:ok	:generate	1656640862617755000
1	:invoke	:generate	nil
1	:ok	:generate	4277456151081018000
2	:invoke	:generate	nil
2	:ok	:generate	1440485051218210800
0	:invoke	:generate	nil
0	:ok	:generate	854639219203775700
0	:invoke	:generate	nil
0	:ok	:generate	5740355306479626000
