:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n1" #{}, "n0" #{}}]
0	:ok	:generate	731285
0	:invoke	:generate	nil
0	:ok	:generate	959345
0	:invoke	:generate	nil
1	:ok	:generate	215203
1	:invoke	:generate	nil
1	:ok	:generate	818325
1	:invoke	:generate	nil
0	:ok	:generate	619529
0	:invoke	:generate	nil
1	:ok	:generate	943858
1	:invoke	:generate	nil
0	:ok	:generate	58162
1	:ok	:generate	257837
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	137078
0	:invoke	:generate	nil
0	:ok	:generate	69743
0	:invoke	:generate	nil
1	:ok	:generate	248298
1	:invoke	:generate	nil
0	:ok	:generate	986160
0	:invoke	:generate	nil
1	:ok	:generate	543961
1	:invoke	:generate	nil
0	:ok	:generate	274527
0	:invoke	:generate	nil
1	:ok	:generate	928506
1	:invoke	:generate	nil
0	:ok	:generate	307322
1	:ok	:generate	315796
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	924906
1	:ok	:generate	43167
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	522955
0	:invoke	:generate	nil
1	:ok	:generate	359744
1	:invoke	:generate	nil
1	:ok	:generate	487331
1	:invoke	:generate	nil
1	:ok	:generate	836899
1	:invoke	:generate	nil
0	:ok	:generate	147818
0	:invoke	:generate	nil
1	:ok	:generate	572849
1	:invoke	:generate	nil
0	:ok	:generate	809063
0	:invoke	:generate	nil
0	:ok	:generate	893640
0	:invoke	:generate	nil
1	:ok	:generate	959522
1	:invoke	:generate	nil
0	:ok	:generate	376183
0	:invoke	:generate	nil
1	:ok	:generate	84791
1	:invoke	:generate	nil
0	:ok	:generate	507382
0	:invoke	:generate	nil
1	:ok	:generate	275976
1	:invoke	:generate	nil
0	:ok	:generate	494405
0	:invoke	:generate	nil
1	:ok	:generate	192566
1	:invoke	:generate	nil
0	:ok	:generate	347390
0	:invoke	:generate	nil
1	:ok	:generate	597593
1	:invoke	:generate	nil
1	:ok	:generate	833997
0	:ok	:generate	54281
0	:invoke	:generate	nil
0	:ok	:generate	382717
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	494177
1	:invoke	:generate	nil
0	:ok	:generate	6489
0	:invoke	:generate	nil
1	:ok	:generate	912418
1	:invoke	:generate	nil
0	:ok	:generate	881986
0	:invoke	:generate	nil
1	:ok	:generate	508989
1	:invoke	:generate	nil
0	:ok	:generate	25639
0	:invoke	:generate	nil
0	:ok	:generate	769097
0	:invoke	:generate	nil
1	:ok	:generate	800381
1	:invoke	:generate	nil
1	:ok	:generate	111570
1	:invoke	:generate	nil
0	:ok	:generate	760691
0	:invoke	:generate	nil
1	:ok	:generate	434219
0	:ok	:generate	201429
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	147966
1	:invoke	:generate	nil
0	:ok	:generate	295878
0	:invoke	:generate	nil
1	:ok	:generate	465540
0	:ok	:generate	681294
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	15712
0	:ok	:generate	44875
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	4590
0	:ok	:generate	171796
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	391826
0	:invoke	:generate	nil
1	:ok	:generate	593298
1	:invoke	:generate	nil
0	:ok	:generate	381610
0	:invoke	:generate	nil
1	:ok	:generate	300240
0	:ok	:generate	611515
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	757562
1	:ok	:generate	281226
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	269561
1	:invoke	:generate	nil
0	:ok	:generate	713583
0	:invoke	:generate	nil
1	:ok	:generate	333998
1	:invoke	:generate	nil
0	:ok	:generate	881783
1	:ok	:generate	851562
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	416222
1	:ok	:generate	824248
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	850156
0	:invoke	:generate	nil
1	:ok	:generate	452402
0	:ok	:generate	385639
0	:invoke	:generate	nil
0	:ok	:generate	380795
0	:invoke	:generate	nil
0	:ok	:generate	738669
1	:invoke	:generate	nil
1	:ok	:generate	631833
0	:invoke	:generate	nil
0	:ok	:generate	274954
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	976881
0	:invoke	:generate	nil
1	:ok	:generate	321870
1	:invoke	:generate	nil
0	:ok	:generate	556809
1	:ok	:generate	669789
1	:invoke	:generate	nil
1	:ok	:generate	836586
0	:invoke	:generate	nil
0	:ok	:generate	767571
0	:invoke	:generate	nil
0	:ok	:generate	241939
1	:invoke	:generate	nil
1	:ok	:generate	831734
0	:invoke	:generate	nil
0	:ok	:generate	646958
0	:invoke	:generate	nil
0	:ok	:generate	913962
1	:invoke	:generate	nil
1	:ok	:generate	288561
0	:invoke	:generate	nil
0	:ok	:generate	680026
0	:invoke	:generate	nil
0	:ok	:generate	65043
1	:invoke	:generate	nil
1	:ok	:generate	80827
0	:invoke	:generate	nil
0	:ok	:generate	578919
0	:invoke	:generate	nil
0	:ok	:generate	258631
1	:invoke	:generate	nil
1	:ok	:generate	719872
0	:invoke	:generate	nil
0	:ok	:generate	970138
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	127802
1	:ok	:generate	655907
0	:invoke	:generate	nil
0	:ok	:generate	691481
0	:invoke	:generate	nil
0	:ok	:generate	293846
1	:invoke	:generate	nil
1	:ok	:generate	287028
0	:invoke	:generate	nil
0	:ok	:generate	78239
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	680848
1	:ok	:generate	211598
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	132581
0	:ok	:generate	973027
1	:invoke	:generate	nil
1	:ok	:generate	254174
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	632831
0	:ok	:generate	520827
1	:invoke	:generate	nil
1	:ok	:generate	307137
0	:invoke	:generate	nil
0	:ok	:generate	718390
0	:invoke	:generate	nil
0	:ok	:generate	657836
1	:invoke	:generate	nil
1	:ok	:generate	169573
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	787313
0	:ok	:generate	179615
1	:invoke	:generate	nil
1	:ok	:generate	567202
0	:invoke	:generate	nil
0	:ok	:generate	504091
0	:invoke	:generate	nil
0	:ok	:generate	468176
1	:invoke	:generate	nil
1	:ok	:generate	280405
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	396769
1	:ok	:generate	486764
1	:invoke	:generate	nil
1	:ok	:generate	956677
0	:invoke	:generate	nil
0	:ok	:generate	799915
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	745401
1	:ok	:generate	428636
0	:invoke	:generate	nil
0	:ok	:generate	549831
0	:invoke	:generate	nil
0	:ok	:generate	702921
1	:invoke	:generate	nil
1	:ok	:generate	356949
0	:invoke	:generate	nil
0	:ok	:generate	782092
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	657070
0	:ok	:generate	720445
0	:invoke	:generate	nil
0	:ok	:generate	234319
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	663931
0	:ok	:generate	798071
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	394569
0	:ok	:generate	795654
1	:invoke	:generate	nil
1	:ok	:generate	343169
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	887420
0	:ok	:generate	582365
1	:invoke	:generate	nil
1	:ok	:generate	360110
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	958465
0	:ok	:generate	868041
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	485034
1	:invoke	:generate	nil
1	:ok	:generate	72784
0	:ok	:generate	452834
1	:invoke	:generate	nil
1	:ok	:generate	75094
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	763766
0	:ok	:generate	576807
1	:invoke	:generate	nil
1	:ok	:generate	7059
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	431609
1	:ok	:generate	653120
1	:invoke	:generate	nil
1	:ok	:generate	150667
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	670969
1	:ok	:generate	557007
1	:invoke	:generate	nil
1	:ok	:generate	75780
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	580130
1	:ok	:generate	459409
1	:invoke	:generate	nil
1	:ok	:generate	545541
0	:invoke	:generate	nil
0	:ok	:generate	850068
0	:invoke	:generate	nil
0	:ok	:generate	570450
1	:invoke	:generate	nil
1	:ok	:generate	236847
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	57644
1	:ok	:generate	815302
1	:invoke	:generate	nil
1	:ok	:generate	83558
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	384592
1	:ok	:generate	492440
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	420055
1	:invoke	:generate	nil
0	:ok	:generate	833185
1	:ok	:generate	283339
1	:invoke	:generate	nil
1	:ok	:generate	243631
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	422809
1	:invoke	:generate	nil
0	:ok	:generate	726058
1	:ok	:generate	18666
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	568708
1	:ok	:generate	493483
1	:invoke	:generate	nil
1	:ok	:generate	953564
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	287782
1	:ok	:generate	761337
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	731383
1	:ok	:generate	792409
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	541528
0	:invoke	:generate	nil
1	:ok	:generate	678304
0	:ok	:generate	523733
0	:invoke	:generate	nil
0	:ok	:generate	335921
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	885802
1	:ok	:generate	684151
0	:invoke	:generate	nil
0	:ok	:generate	940973
1	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	564554
1	:ok	:generate	648096
0	:invoke	:generate	nil
0	:ok	:generate	978084
1	:invoke	:generate	nil
1	:ok	:generate	990767
0	:invoke	:generate	nil
0	:ok	:generate	135509
0	:invoke	:generate	nil
0	:ok	:generate	632740
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	392477
1	:invoke	:generate	nil
0	:ok	:generate	608236
0	:invoke	:generate	nil
1	:ok	:generate	388
0	:ok	:generate	809081
0	:invoke	:generate	nil
0	:ok	:generate	695724
0	:invoke	:generate	nil
0	:ok	:generate	102081
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	325241
0	:ok	:generate	771955
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	577807
1	:ok	:generate	721489
0	:invoke	:generate	nil
0	:ok	:generate	583297
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	21638
1	:ok	:generate	209505
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	10724
1	:ok	:generate	285107
1	:invoke	:generate	nil
1	:ok	:generate	442832
0	:invoke	:generate	nil
0	:ok	:generate	696000
0	:invoke	:generate	nil
0	:ok	:generate	370579
1	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	682762
1	:invoke	:generate	nil
0	:ok	:generate	515190
0	:invoke	:generate	nil
1	:ok	:generate	239410
1	:invoke	:generate	nil
0	:ok	:generate	216815
0	:invoke	:generate	nil
1	:ok	:generate	542980
1	:invoke	:generate	nil
